Local_Date_Time,RIC,Price,Volume
2020-09-01,AAPL.O,134.18,6041734
2020-09-02,AAPL.O,131.4,6344101
2020-09-03,AAPL.O,120.88,13138050
2020-09-04,AAPL.O,120.96,8430804
2020-09-08,AAPL.O,112.82,10535351
2020-09-09,AAPL.O,117.32,10657260
2020-09-10,AAPL.O,113.49,8187664
2020-09-11,AAPL.O,112.0,5953917
2020-09-14,AAPL.O,115.355,9003160
2020-09-15,AAPL.O,115.54,4977335
2020-09-16,AAPL.O,112.13,8306981
2020-09-17,AAPL.O,110.34,9032006
2020-09-18,AAPL.O,106.84,53268107
2020-09-21,AAPL.O,110.08,7530644
2020-09-22,AAPL.O,111.81,7237815
2020-09-23,AAPL.O,107.12,12840576
2020-09-24,AAPL.O,108.22,6547750
2020-09-25,AAPL.O,112.28,7257648
2020-09-28,AAPL.O,114.96,8262982
2020-09-29,AAPL.O,114.09,3409235
2020-09-30,AAPL.O,115.81,13761886
2020-10-01,AAPL.O,116.79,7686070
2020-10-02,AAPL.O,113.02,6272006
2020-10-05,AAPL.O,116.5,5362483
2020-10-06,AAPL.O,113.16,6460984
2020-10-07,AAPL.O,115.08,5733698
2020-10-08,AAPL.O,114.97,3700263
2020-10-09,AAPL.O,116.97,5591874
2020-10-12,AAPL.O,124.4,11533702
2020-10-13,AAPL.O,121.1,6272980
2020-10-14,AAPL.O,121.19,5612232
2020-10-15,AAPL.O,120.71,5013156
2020-10-16,AAPL.O,119.02,7257616
2020-10-19,AAPL.O,115.98,5969692
2020-10-20,AAPL.O,117.51,4998502
2020-10-21,AAPL.O,116.87,5198302
2020-10-22,AAPL.O,115.75,4320056
2020-10-23,AAPL.O,115.04,2768506
2020-10-26,AAPL.O,115.05,6476819
2020-10-27,AAPL.O,116.6,4963567
2020-10-28,AAPL.O,111.2,11032079
2020-10-29,AAPL.O,115.32,6943407
2020-10-30,AAPL.O,108.86,9643471
2020-11-02,AAPL.O,108.77,4722691
2020-11-03,AAPL.O,110.44,5487686
2020-11-04,AAPL.O,114.95,8696718
2020-11-05,AAPL.O,119.03,7271224
2020-11-06,AAPL.O,118.69,6379244
2020-11-09,AAPL.O,116.32,8967477
